"������� �߻���","�������(������)","�������(�ְ���)","�������(����)"
"2022-02-08","0.0","0.0","0.0"
"2022-02-07","0.0","0.0","0.0"
"2022-02-06","0.0","0.0","0.0"
"2022-02-05","0.0","0.0","0.0"
"2022-02-04","0.0","0.0","0.0"
"2022-02-03","0.0","0.0","0.0"
"2022-02-02","0.0","0.0","0.0"
"2022-02-01","0.0","0.0","0.0"
"2022-01-31","0.0","0.0","0.0"
"2022-01-30","0.0","0.0","0.0"
"2022-01-29","0.0","0.0","0.0"
"2022-01-28","1.6","0.0","0.0"
"2022-01-27","22.7","4.6","0.0"
"2022-01-26","19.3","6.3","0.0"
"2022-01-25","8.8","0.0","0.0"
"2022-01-24","12.1","0.2","0.0"
"2022-01-23","12.1","0.2","0.0"
"2022-01-22","0.0","0.0","0.0"
"2022-01-21","0.0","0.0","0.0"
"2022-01-20","0.0","0.0","0.0"
"2022-01-19","0.0","0.0","0.0"
"2022-01-18","0.0","0.0","0.0"
"2022-01-17","0.0","0.0","0.0"
"2022-01-16","0.0","0.0","0.0"
"2022-01-15","0.0","0.0","0.0"
"2022-01-14","0.0","0.0","0.0"
"2022-01-13","0.0","0.0","0.0"
"2022-01-12","0.0","0.0","0.0"
"2022-01-11","5.4","0.0","0.0"
"2022-01-10","0.0","0.0","0.0"
"2022-01-09","0.0","0.0","0.0"
"2022-01-08","0.0","0.0","0.0"
"2022-01-07","0.0","0.0","0.0"
"2022-01-06","0.0","0.0","0.0"
"2022-01-05","0.0","0.0","0.0"
"2022-01-04","0.0","0.0","0.0"
"2022-01-03","0.0","0.0","0.0"
"2022-01-02","0.0","0.0","0.0"
"2022-01-01","0.0","0.0","0.0"
"2021-12-31","0.0","0.0","0.0"
"2021-12-30","0.0","0.0","0.0"
"2021-12-29","0.0","0.0","0.0"
"2021-12-28","0.0","0.0","0.0"
"2021-12-27","0.0","0.0","0.0"
"2021-12-26","0.0","0.0","0.0"
"2021-12-25","3.8","0.1","0.0"
"2021-12-24","0.0","0.0","0.0"
"2021-12-23","16.5","7.8","0.0"
"2021-12-22","7.1","5.4","0.0"
"2021-12-21","0.0","0.0","0.0"
"2021-12-20","0.0","0.0","0.0"
"2021-12-19","0.0","0.0","0.0"
"2021-12-18","30.4","10.8","0.0"
"2021-12-17","42.1","13.3","0.9"
"2021-12-16","8.2","3.5","0.0"
"2021-12-15","0.0","0.0","0.0"
"2021-12-14","0.0","0.0","0.0"
"2021-12-13","36.5","9.5","0.0"
"2021-12-12","12.1","0.2","0.0"
"2021-12-11","27.1","11.3","0.0"
"2021-12-10","22.7","7.9","0.0"
"2021-12-09","26.5","8.3","0.0"
"2021-12-08","8.2","4.9","0.0"
"2021-12-07","0.0","0.0","0.0"
"2021-12-06","0.0","0.0","0.0"
"2021-12-05","2.1","1.5","0.0"
"2021-12-04","0.0","0.0","0.0"
"2021-12-03","0.0","0.0","0.0"
"2021-12-02","16.0","9.5","0.0"
"2021-12-01","26.0","10.5","0.0"
"2021-11-30","4.9","3.6","0.0"
"2021-11-29","4.3","0.4","0.0"
"2021-11-28","9.3","2.0","0.0"
"2021-11-27","26.5","8.4","0.0"
"2021-11-26","0.0","3.9","0.0"
"2021-11-25","0.0","0.0","0.0"
"2021-11-24","8.8","1.0","0.0"
"2021-11-23","54.3","20.6","9.4"
"2021-11-22","49.9","17.8","7.9"
"2021-11-21","68.7","25.0","19.5"
"2021-11-20","54.9","22.2","11.1"
"2021-11-19","27.1","11.5","0.0"
"2021-11-18","36.5","13.7","0.0"
"2021-11-17","44.3","16.7","4.6"
"2021-11-16","55.4","20.0","11.5"
"2021-11-15","14.9","9.9","0.0"
"2021-11-14","19.3","5.8","0.0"
"2021-11-13","23.8","7.2","0.0"
"2021-11-12","16.0","5.8","0.0"
"2021-11-11","28.8","9.5","0.0"
"2021-11-10","37.1","11.9","0.3"
"2021-11-09","66.0","28.0","19.9"
"2021-11-08","61.0","23.9","17.0"
"2021-11-07","55.4","21.5","13.2"
"2021-11-06","58.7","22.8","13.4"
"2021-11-05","54.3","21.9","11.2"
"2021-11-04","56.0","20.1","13.2"
"2021-11-03","69.3","24.8","20.0"
"2021-11-02","63.2","25.0","18.1"
"2021-11-01","73.2","26.6","23.1"
"2021-10-31","70.4","26.4","22.8"
"2021-10-30","51.5","20.7","10.8"
"2021-10-29","66.5","25.1","19.1"
"2021-10-28","54.9","22.8","12.3"
"2021-10-27","47.1","20.0","7.1"
"2021-10-26","45.4","18.4","7.4"
"2021-10-25","43.8","18.1","5.5"
"2021-10-24","41.0","17.4","4.4"
"2021-10-23","39.3","15.1","2.0"
"2021-10-22","37.6","14.6","0.7"
"2021-10-21","51.5","20.2","8.6"
"2021-10-20","27.7","14.6","0.0"
"2021-10-19","19.3","7.0","0.0"
"2021-10-18","35.4","16.1","0.4"
"2021-10-17","100.0","40.3","44.4"
"2021-10-16","100.0","39.9","52.0"
"2021-10-15","94.8","38.1","38.8"
"2021-10-14","99.8","36.7","40.0"
"2021-10-13","82.1","31.5","27.9"
"2021-10-12","94.8","40.1","38.4"
"2021-10-11","100.0","43.7","50.1"
"2021-10-10","100.0","41.2","45.0"
"2021-10-09","100.0","41.1","47.2"
"2021-10-08","100.0","39.3","47.1"
"2021-10-07","100.0","50.1","61.7"
"2021-10-06","100.0","48.7","53.1"
"2021-10-05","100.0","43.2","47.6"
"2021-10-04","100.0","40.2","44.3"
"2021-10-03","100.0","40.6","46.5"
"2021-10-02","100.0","39.7","45.1"
"2021-10-01","100.0","44.3","47.6"
"2021-09-30","100.0","45.4","53.9"
"2021-09-29","100.0","45.0","51.2"
"2021-09-28","100.0","45.8","51.2"
"2021-09-27","100.0","45.8","50.3"
"2021-09-26","100.0","43.6","45.5"
"2021-09-25","100.0","41.7","52.0"
"2021-09-24","100.0","41.1","44.6"
"2021-09-23","100.0","45.0","47.5"
"2021-09-22","100.0","48.3","53.7"
"2021-09-21","100.0","49.0","59.4"
"2021-09-20","100.0","47.4","54.0"
"2021-09-19","100.0","47.9","58.5"
"2021-09-18","100.0","46.8","50.7"
"2021-09-17","100.0","47.4","56.1"
"2021-09-16","100.0","50.1","57.4"
"2021-09-15","100.0","49.9","65.6"
"2021-09-14","100.0","48.4","54.9"
"2021-09-13","100.0","48.2","57.1"
"2021-09-12","100.0","47.4","56.0"
"2021-09-11","100.0","46.9","55.1"
"2021-09-10","100.0","44.9","53.0"
"2021-09-09","100.0","42.9","45.7"
"2021-09-08","100.0","45.8","49.5"
"2021-09-07","100.0","47.5","54.5"
"2021-09-06","100.0","46.4","52.1"
"2021-09-05","100.0","49.4","59.3"
"2021-09-04","100.0","49.5","58.5"
"2021-09-03","100.0","45.6","50.0"
"2021-09-02","100.0","43.5","49.4"
"2021-09-01","100.0","50.8","60.6"
"2021-08-31","100.0","50.7","62.3"
"2021-08-30","100.0","48.2","55.9"
"2021-08-29","100.0","47.2","57.0"
"2021-08-28","100.0","54.9","66.3"
"2021-08-27","100.0","53.9","68.1"
"2021-08-26","100.0","49.5","61.4"
"2021-08-25","100.0","48.8","58.5"
"2021-08-24","100.0","52.2","64.2"
"2021-08-23","100.0","51.9","59.0"
"2021-08-22","100.0","55.5","66.5"
"2021-08-21","100.0","52.6","61.6"
"2021-08-20","100.0","47.4","60.1"
"2021-08-19","100.0","52.5","64.5"
"2021-08-18","100.0","55.5","67.1"
"2021-08-17","100.0","54.6","64.3"
"2021-08-16","100.0","54.0","69.1"
"2021-08-15","100.0","56.2","68.9"
"2021-08-14","100.0","55.1","71.6"
"2021-08-13","100.0","57.2","77.4"
"2021-08-12","100.0","57.5","72.8"
"2021-08-11","100.0","58.0","70.1"
"2021-08-10","100.0","54.6","73.1"
"2021-08-09","100.0","58.4","69.9"
"2021-08-08","100.0","58.9","78.4"
"2021-08-07","100.0","61.6","77.7"
"2021-08-06","100.0","60.5","79.8"
"2021-08-05","100.0","59.4","71.8"
"2021-08-04","100.0","57.5","73.5"
"2021-08-03","100.0","59.3","73.9"
"2021-08-02","100.0","62.3","82.2"
"2021-08-01","100.0","63.4","80.2"
"2021-07-31","100.0","62.7","82.1"
"2021-07-30","100.0","63.8","83.1"
"2021-07-29","100.0","65.1","87.6"
"2021-07-28","100.0","65.7","89.3"
"2021-07-27","100.0","66.2","84.0"
"2021-07-27","100.0","66.2","84.0"
"2021-07-26","100.0","66.2","83.2"
"2021-07-25","100.0","65.3","84.4"
"2021-07-24","100.0","65.2","82.3"
"2021-07-24","100.0","65.2","82.3"
"2021-07-23","100.0","63.5","77.4"
"2021-07-22","100.0","58.7","73.4"
"2021-07-22","100.0","58.7","73.4"
"2021-07-21","100.0","55.1","71.4"
"2021-07-20","100.0","61.8","78.2"
"2021-07-19","100.0","61.6","74.4"
"2021-07-18","100.0","57.9","74.4"
"2021-07-17","100.0","59.7","79.1"
"2021-07-16","100.0","62.8","79.3"
"2021-07-15","100.0","62.0","79.1"
"2021-07-14","100.0","58.5","71.3"
"2021-07-13","100.0","56.0","70.6"
"2021-07-12","100.0","54.8","67.5"
"2021-07-11","100.0","53.5","69.2"
"2021-07-10","100.0","54.5","70.2"
"2021-07-09","100.0","56.6","70.1"
"2021-07-08","100.0","51.8","61.0"
"2021-07-07","100.0","48.6","56.6"
"2021-07-07","100.0","48.6","56.6"
"2021-07-06","100.0","46.5","54.3"
"2021-07-05","100.0","47.6","54.9"
"2021-07-04","100.0","56.0","70.3"
"2021-07-03","100.0","54.2","62.7"
"2021-07-02","100.0","49.9","60.4"
"2021-07-01","100.0","49.0","61.2"
"2021-06-30","100.0","47.4","60.6"
"2021-06-29","100.0","48.3","57.4"
"2021-06-29","100.0","48.3","57.4"
"2021-06-28","100.0","47.2","57.4"
"2021-06-27","100.0","48.4","55.8"
"2021-06-26","100.0","46.4","52.1"
"2021-06-25","100.0","44.5","53.1"
"2021-06-24","100.0","45.1","57.5"
"2021-06-23","100.0","47.9","54.4"
"2021-06-22","100.0","45.0","50.3"
"2021-06-21","100.0","44.7","49.0"
"2021-06-20","100.0","43.7","50.6"
"2021-06-19","100.0","46.0","54.8"
"2021-06-18","100.0","49.8","58.2"
"2021-06-17","100.0","47.7","60.5"
"2021-06-16","100.0","50.0","54.1"
"2021-06-15","100.0","50.6","61.1"
"2021-06-14","100.0","48.0","51.9"
"2021-06-13","100.0","45.4","54.9"
"2021-06-13","100.0","45.4","54.9"
"2021-06-12","100.0","50.8","59.2"
"2021-06-11","100.0","51.8","57.0"
"2021-06-10","100.0","46.8","59.0"
"2021-06-09","100.0","44.5","54.3"
"2021-06-08","100.0","46.2","51.6"
"2021-06-07","100.0","41.6","45.9"
"2021-06-06","85.9","36.2","32.8"
"2021-06-06","85.9","36.2","32.8"
"2021-06-05","93.2","39.2","36.7"
"2021-06-04","100.0","45.2","46.3"
"2021-06-03","100.0","41.6","41.5"
"2021-06-02","100.0","40.7","43.4"
"2021-06-01","72.1","32.8","26.5"
"2021-05-31","83.2","30.8","29.2"
"2021-05-30","81.0","29.7","28.1"
"2021-05-29","89.3","32.5","34.2"
"2021-05-28","76.0","35.2","26.6"
"2021-05-27","78.2","30.2","26.4"
"2021-05-26","100.0","38.2","44.0"
"2021-05-25","91.5","37.9","38.9"
"2021-05-24","88.7","36.3","34.8"
"2021-05-23","90.9","33.8","33.7"
"2021-05-22","12.1","63.1","0.0"
"2021-05-21","81.0","37.5","31.2"
"2021-05-20","87.6","33.1","34.2"
"2021-05-19","90.9","33.1","32.7"
"2021-05-18","94.3","38.9","36.5"
"2021-05-17","100.0","45.4","58.6"
"2021-05-16","100.0","47.0","51.4"
"2021-05-15","100.0","44.3","46.3"
"2021-05-15","100.0","44.3","46.3"
"2021-05-14","100.0","43.4","46.4"
"2021-05-13","64.3","33.8","20.9"
"2021-05-12","77.1","28.4","23.5"
"2021-05-11","67.6","28.8","21.2"
"2021-05-10","61.5","24.9","17.2"
"2021-05-09","71.5","29.5","21.4"
"2021-05-08","56.0","27.3","15.5"
"2021-05-07","69.3","26.5","22.4"
"2021-05-06","75.4","29.0","23.1"
"2021-05-05","58.7","25.0","15.2"
"2021-05-05","58.7","25.0","15.2"
"2021-05-04","52.6","21.1","10.9"
"2021-05-03","59.3","17.5","13.3"
"2021-05-02","59.9","22.0","13.3"
"2021-05-01","72.6","26.9","23.3"
"2021-04-30","74.3","28.7","23.5"
"2021-04-29","81.5","29.7","28.6"
"2021-04-28","80.4","31.8","32.8"
"2021-04-27","82.1","34.7","30.7"
"2021-04-26","97.1","37.1","38.8"
"2021-04-26","97.1","37.1","38.8"
"2021-04-25","100.0","40.0","44.1"
"2021-04-24","100.0","39.9","43.7"
"2021-04-23","69.3","33.1","25.0"
"2021-04-22","57.1","25.5","15.7"
"2021-04-21","44.3","19.7","8.3"
"2021-04-20","43.2","16.5","3.8"
"2021-04-19","45.4","16.3","4.8"
"2021-04-18","57.1","21.7","11.8"
"2021-04-17","47.1","18.9","7.4"
"2021-04-16","29.3","13.7","0.0"
"2021-04-15","43.8","20.2","3.3"
"2021-04-14","78.2","26.8","26.0"
"2021-04-14","78.2","26.8","26.0"
"2021-04-13","53.7","26.4","12.9"
"2021-04-12","54.9","21.7","12.2"
"2021-04-11","54.3","24.1","12.3"
"2021-04-10","52.1","23.9","10.4"
"2021-04-09","57.1","24.9","14.4"
"2021-04-08","64.3","25.6","18.0"
"2021-04-07","42.1","18.8","4.9"
"2021-04-06","62.1","22.7","15.2"
"2021-04-05","72.6","30.3","22.4"
"2021-04-04","81.5","34.5","29.9"
"2021-04-03","78.7","33.0","28.7"
"2021-04-03","78.7","33.0","28.7"
"2021-04-02","44.9","23.5","8.1"
"2021-04-01","34.9","16.3","0.1"
"2021-03-31","52.6","18.3","9.1"
"2021-03-30","54.9","16.0","9.7"
"2021-03-29","68.7","24.2","18.8"
"2021-03-28","12.1","42.6","0.0"
"2021-03-27","49.9","19.1","9.4"
"2021-03-26","43.8","17.7","10.4"
"2021-03-25","26.0","12.6","0.0"
"2021-03-25","26.0","12.6","0.0"
"2021-03-24","18.2","8.7","0.0"
"2021-03-23","29.3","10.2","0.0"
"2021-03-22","53.2","17.2","9.4"
"2021-03-21","75.4","29.2","25.0"
"2021-03-20","39.9","19.1","3.2"
"2021-03-19","22.1","10.3","0.0"
"2021-03-19","22.1","10.3","0.0"
"2021-03-18","39.3","13.9","0.5"
"2021-03-17","40.4","18.4","2.3"
"2021-03-16","39.3","14.5","1.2"
"2021-03-15","37.6","15.4","0.0"
"2021-03-14","52.1","18.9","8.9"
"2021-03-13","38.2","15.5","1.7"
"2021-03-12","21.5","10.8","0.0"
"2021-03-12","21.5","10.8","0.0"
"2021-03-11","23.8","8.8","0.0"
"2021-03-10","20.4","8.3","0.0"
"2021-03-09","23.8","7.5","0.0"
"2021-03-08","29.9","9.5","0.0"
"2021-03-07","28.8","12.5","0.0"
"2021-03-06","26.0","10.0","0.0"
"2021-03-05","5.4","4.0","0.0"
"2021-03-04","13.2","0.3","0.0"
"2021-03-03","14.9","6.0","0.0"
"2021-03-02","29.9","14.4","0.0"
"2021-03-02","29.9","14.4","0.0"
"2021-03-01","36.0","14.1","0.0"
"2021-02-28","14.9","10.2","0.0"
"2021-02-27","16.0","5.2","0.0"
"2021-02-26","0.0","0.0","0.0"
"2021-02-25","0.0","0.0","0.0"
"2021-02-24","14.3","12.4","0.0"
"2021-02-23","38.2","17.2","1.8"
"2021-02-22","42.6","13.2","3.4"
"2021-02-21","0.0","0.0","0.0"
"2021-02-20","0.0","0.0","0.0"
"2021-02-19","12.1","0.0","0.0"
"2021-02-18","0.0","0.0","0.0"
"2021-02-17","0.0","0.0","0.0"
"2021-02-16","47.6","16.8","5.8"
"2021-02-15","17.7","8.1","0.0"
"2021-02-14","15.4","6.5","0.0"
"2021-02-13","19.3","6.6","0.0"
"2021-02-12","3.8","3.6","0.0"
"2021-02-11","0.0","0.0","0.0"
"2021-02-10","0.0","0.0","0.0"
"2021-02-09","0.0","3.8","0.0"
"2021-02-08","36.0","12.5","0.0"
"2021-02-07","0.0","0.0","0.0"
"2021-02-06","0.0","0.0","0.0"
"2021-02-06","0.0","0.0","0.0"
"2021-02-05","0.0","0.0","0.0"
"2021-02-04","0.0","0.0","0.0"
"2021-02-03","0.0","6.5","0.0"
"2021-02-02","0.0","1.3","0.0"
"2021-02-01","0.0","0.0","0.0"
"2021-01-31","0.0","0.0","0.0"
"2021-01-30","0.0","0.0","0.0"
"2021-01-29","2.1","-1.2","-24.3"
"2021-01-29","2.1","0.0","0.0"
"2021-01-28","21.5","9.8","0.0"
"2021-01-27","54.7","22.7","32.7"
"2021-01-26","53.0","22.0","31.7"
"2021-01-25","53.9","22.3","32.2"
"2021-01-24","48.3","20.0","28.8"
"2021-01-23","45.8","19.0","27.4"
"2021-01-22","36.1","14.9","21.5"
"2021-01-21","26.1","10.8","15.6"
"2021-01-20","29.7","12.3","17.8"
"2021-01-19","27.2","11.3","16.2"
"2021-01-18","28.1","11.6","16.8"
"2021-01-17","45.8","19.0","27.4"
"2021-01-16","39.6","16.4","23.6"
"2021-01-15","40.2","16.7","24.0"
"2021-01-14","29.6","12.2","17.7"
"2021-01-13","36.3","15.0","21.6"
"2021-01-12","36.3","15.0","21.6"
"2021-01-11","36.3","15.0","21.6"
"2021-01-10","36.3","15.0","21.6"
"2021-01-09","36.3","15.0","21.6"
"2021-01-08","36.3","15.0","21.6"
"2021-01-07","36.3","15.0","21.6"
"2021-01-06","36.3","15.0","21.6"
"2021-01-05","36.3","15.0","21.6"
"2021-01-04","36.3","15.0","21.6"
"2021-01-03","36.3","15.0","21.6"
"2021-01-02","36.3","15.0","21.6"
"2021-01-01","36.3","15.0","21.6"